
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
20-0040                          D1                                21   1      1   1   1 A           1 0 XSIG030124          (4284-25-13)
20-0040                          D1                                21   1      2   2   1 C           2 0 XSIG030123          (4284-24-13)
20-0041                          D3                                65   1      1   1   1 A           1 0 XSIG011411          (4284-1-13)
20-0041                          D3                                65   1      2   2   1 C           2 0 LED_B               (4122-28-13)
20-0060                          D2                                67   1      1   1   1 2           2 0 USB_VBUS            (4284-26-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
20-0060                          D2                                67   1      2   2   1 1           1 0 XSIG030117          (4284-22-13)
30-0010                          Q1                                56   1      1   1   1 3           3 0 VBAT                (4284-21-13)
30-0010                          Q1                                56   1      2   2   1 1           1 0 USB_VBUS            (4284-26-13)
30-0010                          Q1                                56   1      3   3   1 2           2 0 XSIG030117          (4284-22-13)
40-0229                          U4                                18   1      1   1   1 2           2 0 GND                 (43-1-13)
40-0229                          U4                                18   1      2   2   1 5           5 0 XSIG030120          (4284-23-13)
40-0229                          U4                                18   1      3   3   1 1           1 0 XSIG030123          (4284-24-13)
40-0229                          U4                                18   1      4   4   1 3           3 0 VBAT                (4284-21-13)
40-0229                          U4                                18   1      5   5   1 4           4 0 USB_VBUS            (4284-26-13)
40-0287                          U3                                12   1      1   1   1 3           3 0 XSIG030117          (4284-22-13)
40-0287                          U3                                12   1      2   2   1 1           1 0 XSIG030117          (4284-22-13)
40-0287                          U3                                12   1      3   3   1 5           5 0 VCC                 (43-2-13)
40-0287                          U3                                12   2      1   1   2 2           2 0 GND                 (43-1-13)
40-0287                          U3                                 0   3      1   1   3 4           4 1                     (0-0-0)
40-0302                          U7                                66   1      1   1   1 4           4 0 XSIG020125          (4284-16-13)
40-0302                          U7                                66   1      2   2   1 5           5 0 XSIG020139          (4284-18-13)
40-0302                          U7                                66   1      3   3   1 1           1 0 XSIG020116          (4284-13-13)
40-0302                          U7                                66   1      4   4   1 3           3 0 XSIG020155          (4352-1-13)
40-0302                          U7                                66   2      1   1   2 6           6 0 VCC                 (43-2-13)
40-0302                          U7                                66   3      1   1   3 2           2 0 GND                 (43-1-13)
40-0308                          U2                                11   1      1   1   1 30         31 0 XSIG011440          (4370-1-13)
40-0308                          U2                                11   1      2   2   1 47         48 0 XSIG011299          (4122-15-13)
40-0308                          U2                                11   1      3   3   1 1           2 0 XSIG011289          (4122-12-13)
40-0308                          U2                                11   1      4   4   1 32         33 0 XSIG011288          (4122-11-13)
40-0308                          U2                                11   1      5   5   1 33         34 0 XSIG011287          (4122-10-13)
40-0308                          U2                                11   1      6   6   1 46         47 0 XSIG011286          (4122-9-13)
40-0308                          U2                                11   1      7   7   1 2           3 0 XSIG011327          (4122-20-13)
40-0308                          U2                                11   1      8   8   1 3           4 0 XSIG011329          (4122-21-13)
40-0308                          U2                                11   1      9   9   1 4           5 0                     (0-0-0)
40-0308                          U2                                11   1     10  10   1 5           6 0                     (0-0-0)
40-0308                          U2                                11   1     11  11   1 6           7 0                     (0-0-0)
40-0308                          U2                                11   1     12  12   1 7           8 0 SPI_NSS             (4122-1-13)
40-0308                          U2                                11   1     13  13   1 8           9 0 SPI_MOSI            (4122-4-13)
40-0308                          U2                                11   1     14  14   1 9          10 0 SPI_MISO            (4122-3-13)
40-0308                          U2                                11   1     15  15   1 10         11 0 SPI_SCK             (4122-2-13)
40-0308                          U2                                11   1     16  16   1 11         12 0                     (0-0-0)
40-0308                          U2                                11   1     17  17   1 12         13 0 DIO5                (4186-6-13)
40-0308                          U2                                11   1     18  18   1 14         15 0 DIO4                (4186-5-13)
40-0308                          U2                                11   1     19  19   1 15         16 0 DIO3                (4186-4-13)
40-0308                          U2                                11   1     20  20   1 16         17 0 DIO2                (4186-3-13)
40-0308                          U2                                11   1     21  21   1 17         18 0 DIO1                (4186-2-13)
40-0308                          U2                                11   1     22  22   1 18         19 0 DIO0                (4186-1-13)
40-0308                          U2                                11   1     23  23   1 19         20 0                     (0-0-0)
40-0308                          U2                                11   1     24  24   1 20         21 0                     (0-0-0)
40-0308                          U2                                11   1     25  25   1 21         22 0                     (0-0-0)
40-0308                          U2                                11   1     26  26   1 22         23 0                     (0-0-0)
40-0308                          U2                                11   1     27  27   1 23         24 0                     (0-0-0)
40-0308                          U2                                11   1     28  28   1 24         25 0 RSTn                (3862-1-13)
40-0308                          U2                                11   1     29  29   1 27         28 0                     (0-0-0)
40-0308                          U2                                11   1     30  30   1 28         29 0                     (0-0-0)
40-0308                          U2                                11   1     31  31   1 29         30 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0308                          U2                                11   1     32  32   1 37         38 0 LED_B               (4122-28-13)
40-0308                          U2                                11   1     33  33   1 38         39 0 RGB_R               (4160-1-13)
40-0308                          U2                                11   1     34  34   1 39         40 0 RGB_G               (4160-2-13)
40-0308                          U2                                11   1     35  35   1 40         41 0 RGB_B               (4160-3-13)
40-0308                          U2                                11   1     36  36   1 41         42 0                     (0-0-0)
40-0308                          U2                                11   1     37  37   1 42         43 0                     (0-0-0)
40-0308                          U2                                11   1     38  38   1 43         44 0                     (0-0-0)
40-0308                          U2                                11   1     39  39   1 25         26 0 SWCLK               (2907-26-13)
40-0308                          U2                                11   1     40  40   1 26         27 0 SWDIO               (4122-27-13)
40-0308                          U2                                11   1     41  41   1 34         35 0 XSIG011321          (4122-18-13)
40-0308                          U2                                11   1     42  42   1 35         36 0 XSIG011323          (4122-19-13)
40-0308                          U2                                11   2      1   1   2 48         49 0 VCC                 (43-2-13)
40-0308                          U2                                11   2      1   1   3 36         37 0 VCC                 (43-2-13)
40-0308                          U2                                11   2      1   1   4 13         14 0 VCC                 (43-2-13)
40-0308                          U2                                11   3      1   1   5 EXP         1 0 GND                 (43-1-13)
40-0308                          U2                                11   3      1   1   6 31         32 0 GND                 (43-1-13)
40-0308                          U2                                11   3      1   1   7 45         46 0 GND                 (43-1-13)
40-0308                          U2                                 0   4      1   1   8 44         45 1                     (0-0-0)
40-0316                          U1                                 1   1      1   1   1 8           9 0 DIO0                (4186-1-13)
40-0316                          U1                                 1   1      2   2   1 9          10 0 DIO1                (4186-2-13)
40-0316                          U1                                 1   1      3   3   1 10         11 0 DIO2                (4186-3-13)
40-0316                          U1                                 1   1      4   4   1 11         12 0 DIO3                (4186-4-13)
40-0316                          U1                                 1   1      5   5   1 12         13 0 DIO4                (4186-5-13)
40-0316                          U1                                 1   1      6   6   1 13         14 0 DIO5                (4186-6-13)
40-0316                          U1                                 1   1      7   7   1 27         28 0                     (0-0-0)
40-0316                          U1                                 1   1      8   8   1 7           8 0 RSTn                (3862-1-13)
40-0316                          U1                                 1   1      9   9   1 21         22 0 RFI_HF              (4122-24-13)
40-0316                          U1                                 1   1     10  10   1 1           2 0                     (0-0-0)
40-0316                          U1                                 1   1     11  11   1 22         23 0 RFO_HF              (4122-25-13)
40-0316                          U1                                 1   1     12  12   1 28         29 0                     (0-0-0)
40-0316                          U1                                 1   1     13  13   1 20         21 0 RXTX                (4122-26-13)
40-0316                          U1                                 1   1     14  14   1 17         18 0 SPI_MISO            (4122-3-13)
40-0316                          U1                                 1   1     15  15   1 18         19 0 SPI_MOSI            (4122-4-13)
40-0316                          U1                                 1   1     16  16   1 19         20 0 SPI_NSS             (4122-1-13)
40-0316                          U1                                 1   1     17  17   1 16         17 0 SPI_SCK             (4122-2-13)
40-0316                          U1                                 1   1     18  18   1 3           4 0 VCC                 (43-2-13)
40-0316                          U1                                 1   1     19  19   1 24         25 0 VCC                 (43-2-13)
40-0316                          U1                                 1   1     20  20   1 14         15 0 VCC                 (43-2-13)
40-0316                          U1                                 1   1     21  21   1 2           3 0 XSIG020079          (4284-6-13)
40-0316                          U1                                 1   1     22  22   1 4           5 0 XSIG020078          (4284-5-13)
40-0316                          U1                                 1   1     23  23   1 25         26 0 VR_PA               (4284-17-13)
40-0316                          U1                                 1   1     24  24   1 5           6 0 XSIG020081          (4284-7-13)
40-0316                          U1                                 1   1     25  25   1 6           7 0 XSIG020082          (4284-8-13)
40-0316                          U1                                 1   2      1   1   2 26         27 0 GND                 (43-1-13)
40-0316                          U1                                 1   2      1   1   3 23         24 0 GND                 (43-1-13)
40-0316                          U1                                 1   2      1   1   4 15         16 0 GND                 (43-1-13)
40-0316                          U1                                 1   2      1   1   5 PAD         1 0 GND                 (43-1-13)
50-0029                          L2                                24   1      1   1   1 1           1 0 XSIG011286          (4122-9-13)
50-0029                          L2                                24   1      2   2   1 2           2 0 XSIG011297          (4122-14-13)
50-0030                          L7                                82   1      1   1   1 1           1 0 VR_PA               (4284-17-13)
50-0030                          L7                                82   1      2   2   1 2           2 0 RFO_HF              (4122-25-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
50-0032                          L5                                78   1      1   1   1 1           1 0 RFI_HF              (4122-24-13)
50-0032                          L5                                78   1      2   2   1 2           2 0 XSIG020111          (4284-12-13)
50-0032                          L6                                79   1      1   1   1 1           1 0 XSIG020120          (4284-15-13)
50-0032                          L6                                79   1      2   2   1 2           2 0 XSIG020119          (4284-14-13)
50-0033                          L1                                13   1      1   1   1 1           1 0 XSIG011297          (4122-14-13)
50-0033                          L1                                13   1      2   2   1 2           2 0 XSIG011299          (4122-15-13)
50-0036                          L3                                57   1      1   1   1 1           1 0 XSIG011442          (4370-2-13)
50-0036                          L3                                57   1      2   2   1 2           2 0 XSIG011440          (4370-1-13)
50-0047                          L4                                61   1      1   1   1 1           1 0 XSIG020119          (4284-14-13)
50-0047                          L4                                61   1      2   2   1 2           2 0 XSIG020116          (4284-13-13)
70-0065                          J2                                41   1      1   1   1 2           2 0                     (0-0-0)
70-0065                          J2                                41   1      2   2   1 3           3 0                     (0-0-0)
70-0065                          J2                                41   1      3   3   1 5           5 0 GND                 (43-1-13)
70-0065                          J2                                41   1      4   4   1 4           4 0                     (0-0-0)
70-0065                          J2                                41   1      5   5   1 6           6 0 GND                 (43-1-13)
70-0065                          J2                                41   1      6   6   1 7           7 0 GND                 (43-1-13)
70-0065                          J2                                41   1      7   7   1 8           8 0 GND                 (43-1-13)
70-0065                          J2                                41   1      8   8   1 9           9 0 GND                 (43-1-13)
70-0065                          J2                                41   1      9   9   1 1           1 0 USB_VBUS            (4284-26-13)
70-0081                          J1                                23   1      1   1   1 1           1 0 VCC                 (43-2-13)
70-0081                          J1                                23   1      2   2   1 2           2 0 SWDIO               (4122-27-13)
70-0081                          J1                                23   1      3   3   1 3           3 0 GND                 (43-1-13)
70-0081                          J1                                23   1      4   4   1 4           4 0 SWCLK               (2907-26-13)
70-0081                          J1                                23   1      5   5   1 5           5 0 GND                 (43-1-13)
70-0081                          J1                                23   1      6   6   1 6           6 0                     (0-0-0)
70-0081                          J1                                23   1      7   7   1 8           8 0                     (0-0-0)
70-0081                          J1                                23   1      8   8   1 9           9 0 GND                 (43-1-13)
70-0081                          J1                                23   1      9   9   1 10         10 0 RSTn                (3862-1-13)
70-0081                          J1                                 0   2      1   1   2 7           7 1                     (0-0-0)
70-0086                          J3                                53   1      1   1   1 MA          1 0 GND                 (43-1-13)
70-0086                          J3                                53   1      2   2   1 MB          2 0 GND                 (43-1-13)
70-0086                          J3                                53   1      3   3   1 1           3 0 GND                 (43-1-13)
70-0086                          J3                                53   1      4   4   1 2           4 0 VBAT                (4284-21-13)
80-0035                          SW1                               68   1      1   1   1 1           1 0 RSTn                (3862-1-13)
80-0035                          SW1                               68   1      2   2   1 2           2 0 GND                 (43-1-13)
80-0050                          U5                                22   1      1   1   1 1           1 0 XSIG011442          (4370-2-13)
80-0050                          U5                                 0   2      1   1   2 2           2 1                     (0-0-0)
80-0063                          PT1                               42   1      1   1   1 1           1 0 SPI_NSS             (4122-1-13)
80-0063                          PT2                               43   1      1   1   1 1           1 0 SPI_SCK             (4122-2-13)
80-0063                          PT3                               50   1      1   1   1 1           1 0 SPI_MISO            (4122-3-13)
80-0063                          PT4                               52   1      1   1   1 1           1 0 SPI_MOSI            (4122-4-13)
80-0063                          PT5                               44   1      1   1   1 1           1 0 DIO0                (4186-1-13)
80-0063                          PT6                               45   1      1   1   1 1           1 0 DIO1                (4186-2-13)
80-0063                          PT7                               46   1      1   1   1 1           1 0 DIO2                (4186-3-13)
80-0063                          PT8                               47   1      1   1   1 1           1 0 DIO3                (4186-4-13)
80-0063                          PT9                               48   1      1   1   1 1           1 0 DIO4                (4186-5-13)
80-0063                          PT10                              49   1      1   1   1 1           1 0 DIO5                (4186-6-13)
80-0063                          PT11                              51   1      1   1   1 1           1 0 RXTX                (4122-26-13)
80-0068                          U6                                32   1      1   1   1 1           1 0 XSIG020157          (4432-1-13)
83-0025                          QZ2                               33   1      1   1   1 1           1 0 XSIG011321          (4122-18-13)
83-0025                          QZ2                               33   1      2   2   1 3           3 0 XSIG011323          (4122-19-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
83-0025                          QZ2                                0   2      1   1   2 2           2 1                     (0-0-0)
83-0025                          QZ2                                0   2      1   1   3 4           4 1                     (0-0-0)
83-0025                          QZ3                               34   1      1   1   1 1           1 0 XSIG020081          (4284-7-13)
83-0025                          QZ3                               34   1      2   2   1 3           3 0 XSIG020082          (4284-8-13)
83-0025                          QZ3                                0   2      1   1   2 2           2 1                     (0-0-0)
83-0025                          QZ3                                0   2      1   1   3 4           4 1                     (0-0-0)
83-0027                          QZ1                               31   1      1   1   1 1           1 0 XSIG011327          (4122-20-13)
83-0027                          QZ1                               31   1      2   2   1 2           2 0 XSIG011329          (4122-21-13)
